phylo_level_val	Lineage	Soilmicrobialcommunitie3300051019	Soilmicrobialcommunitie3300051162	Soilmicrobialcommunitie3300051161	Soilmicrobialcommunitie3300051208	Soilmicrobialcommunitie3300051207	Soilmicrobialcommunitie3300051206	Soilmicrobialcommunitie3300052722	Soilmicrobialcommunitie3300052920	Soilmicrobialcommunitie3300052919	Soilmicrobialcommunitie3300056874	Soilmicrobialcommunitie3300056859	Soilmicrobialcommunitie3300056873	Soilmicrobialcommunitie3300056968	Soilmicrobialcommunitie3300056860	Soilmicrobialcommunitie3300056967	Soilmicrobialcommunitie3300060290	Soilmicrobialcommunitie3300056875	Soilmicrobialcommunitie3300056969	Soilmicrobialcommunitie3300056594	Soilmicrobialcommunitie3300056862	Soilmicrobialcommunitie3300056861	Soilmicrobialcommunitie3300056611	Soilmicrobialcommunitie3300056619	Soilmicrobialcommunitie3300056620	Soilmicrobialcommunitie3300056618	Soilmicrobialcommunitie3300056612	Soilmicrobialcommunitie3300056595	Soilmicrobialcommunitie3300060274	Soilmicrobialcommunitie3300061209	Soilmicrobialcommunitie3300061208	Soilmicrobialcommunitie3300060272	Soilmicrobialcommunitie3300060271	Soilmicrobialcommunitie3300060275	Soilmicrobialcommunitie3300060276	Soilmicrobialcommunitie3300061215	Soilmicrobialcommunitie3300061210
Bacteria:Campylobacterota:Campylobacteria:Campylobacterales	Bacteria:Campylobacterota:Campylobacteria:Campylobacterales	5322	3088	2284	2205	2629	2851	4145	4385	2656	541	121	282	378	266	370	314	244	245	428	364	199	288	352	204	359	236	181	203	550	432	175	238	331	295	471	245
Bacteria:Bacillota_C:Negativicutes:Selenomonadales	Bacteria:Bacillota_C:Negativicutes:Selenomonadales	5297	3068	2606	1761	2336	2397	3824	3796	2274	470	132	245	395	207	218	281	377	189	415	326	173	272	350	169	339	214	171	136	499	284	175	185	255	271	460	232
Bacteria:Cyanobacteriota:Cyanobacteriia:Thermosynechococcales	Bacteria:Cyanobacteriota:Cyanobacteriia:Thermosynechococcales	5261	3140	2401	2314	2974	3662	4335	5113	2834	482	112	286	396	317	339	226	220	302	373	359	232	334	384	245	369	283	212	198	618	421	155	234	278	297	482	326
Archaea:Thermoproteota:Thermoprotei:Thermoproteales	Archaea:Thermoproteota:Thermoprotei:Thermoproteales	5121	2192	835	206	227	62	1239	1004	227	234	67	47	159	27	14	135	67	20	232	109	27	433	192	73	460	51	17	12	157	34	103	54	114	120	119	19
Bacteria:Campylobacterota:Desulfurellia:Desulfurellales	Bacteria:Campylobacterota:Desulfurellia:Desulfurellales	5019	2674	1474	887	1004	1019	3010	2836	1100	428	97	161	273	103	111	206	170	95	351	217	98	311	293	142	404	119	76	60	379	146	142	125	195	206	308	101
Bacteria:Armatimonadota:Fimbriimonadia:Fimbriimonadales	Bacteria:Armatimonadota:Fimbriimonadia:Fimbriimonadales	4959	3565	2250	2193	3207	3936	3233	3561	2855	421	87	232	316	269	347	163	153	327	345	252	209	215	278	176	259	236	268	177	429	420	99	220	213	168	329	304
Bacteria:Pseudomonadota:Gammaproteobacteria:Nitrococcales	Bacteria:Pseudomonadota:Gammaproteobacteria:Nitrococcales	4927	4005	3678	6742	9543	11580	7770	9091	7977	526	208	407	507	867	983	278	367	1060	435	676	630	223	646	515	311	688	702	592	904	1191	207	612	511	382	758	1017
Bacteria:Aquificota:Aquificae:Aquificales	Bacteria:Aquificota:Aquificae:Aquificales	4908	2369	1587	888	1165	1007	2838	2477	901	362	115	189	301	143	149	237	184	108	318	241	122	385	330	152	382	144	95	85	360	204	135	133	188	235	354	126
Bacteria:Bacillota_B:Moorellia:Desulfitibacterales	Bacteria:Bacillota_B:Moorellia:Desulfitibacterales	4842	3101	2073	1476	1298	1389	3109	3255	1541	353	94	165	284	113	112	192	194	77	291	219	114	198	258	125	255	172	93	79	359	210	124	121	200	210	301	111
Archaea:Methanobacteriota:Methanopyri:Methanopyrales	Archaea:Methanobacteriota:Methanopyri:Methanopyrales	4826	1945	921	274	137	55	1467	1111	183	230	62	59	158	18	16	139	89	10	204	143	19	392	182	67	411	39	8	9	161	29	103	43	130	128	135	13
Bacteria:Cloacimonadota:Cloacimonadia:Cloacimonadales	Bacteria:Cloacimonadota:Cloacimonadia:Cloacimonadales	4456	2520	1542	735	837	862	2754	2519	829	384	77	146	256	63	82	146	131	61	327	198	68	201	241	100	244	107	65	44	390	136	113	86	186	185	300	74
Bacteria:Chlamydiota:Chlamydiia:Chlamydiales	Bacteria:Chlamydiota:Chlamydiia:Chlamydiales	4376	2636	1829	1420	2118	2035	3037	3873	1817	421	96	236	310	204	280	200	203	201	347	265	162	317	324	154	325	209	150	130	441	265	114	172	242	224	444	220
Bacteria:Bacillota_A:Clostridia:Christensenellales	Bacteria:Bacillota_A:Clostridia:Christensenellales	4363	2956	2111	1468	1962	2053	3340	3833	1891	436	78	210	325	169	185	170	235	142	296	242	119	172	286	122	183	163	128	137	408	244	128	172	204	241	332	162
Bacteria:Bacillota_B:Desulfitobacteriia:Heliobacteriales	Bacteria:Bacillota_B:Desulfitobacteriia:Heliobacteriales	4258	2684	2119	1911	1981	2053	3579	3929	1835	376	75	169	316	165	178	183	167	144	289	235	122	225	247	132	253	187	129	95	396	222	119	154	237	233	354	158
Bacteria:Pseudomonadota:Alphaproteobacteria:DSM-16000	Bacteria:Pseudomonadota:Alphaproteobacteria:DSM-16000	4220	2857	2424	3952	8496	9739	5029	4911	3670	896	498	200	531	762	853	625	334	960	346	521	572	77	619	581	276	579	595	469	572	825	112	543	272	301	478	977
Bacteria:Cyanobacteriota:Cyanobacteriia:Gloeobacterales	Bacteria:Cyanobacteriota:Cyanobacteriia:Gloeobacterales	4056	2761	1776	1954	3121	3511	3140	3819	2748	366	104	198	321	320	354	183	183	378	331	287	215	238	316	217	282	226	246	190	460	389	132	241	209	231	362	347
Bacteria:Bacillota_E:Symbiobacteriia:Symbiobacteriales	Bacteria:Bacillota_E:Symbiobacteriia:Symbiobacteriales	3971	2977	2085	1860	2187	2381	3441	3422	1685	330	93	162	285	150	180	158	160	188	267	232	126	239	271	148	253	177	146	117	348	246	117	153	205	226	328	192
Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales	3896	2473	1282	773	996	956	2267	2290	748	370	86	121	251	75	116	178	139	77	269	211	88	214	221	103	229	120	61	59	360	131	133	99	202	209	283	90
Bacteria:Bacillota_A:Clostridia:Acetivibrionales_A	Bacteria:Bacillota_A:Clostridia:Acetivibrionales_A	3859	2559	1546	744	815	701	2038	2201	869	385	71	149	237	60	87	156	131	62	334	177	66	180	229	102	237	117	49	50	305	132	94	83	162	184	242	69
Bacteria:Cyanobacteriota:Cyanobacteriia:PCC-6307	Bacteria:Cyanobacteriota:Cyanobacteriia:PCC-6307	3841	3005	2974	4488	5675	6849	5593	7323	5539	359	99	341	397	464	552	169	257	535	317	394	336	134	344	271	126	410	368	340	733	730	179	307	400	292	572	487
Bacteria:Bacillota:Bacilli:Kyrpidiales	Bacteria:Bacillota:Bacilli:Kyrpidiales	3770	2443	1393	1090	1616	1789	2533	2321	1145	269	57	99	250	134	142	143	128	145	259	174	115	206	247	131	235	137	121	89	279	192	90	119	133	147	255	161
Bacteria:Actinomycetota:Actinomycetia:Jiangellales	Bacteria:Actinomycetota:Actinomycetia:Jiangellales	3760	2880	3395	8344	11367	17915	4707	7394	11213	406	110	397	394	857	1019	189	290	1096	291	501	569	164	429	376	186	698	732	632	639	1339	165	550	443	285	671	998
Bacteria:Bacillota:Bacilli:Aneurinibacillales	Bacteria:Bacillota:Bacilli:Aneurinibacillales	3685	2547	1545	1039	1432	1478	2483	2267	1172	303	77	136	246	112	154	178	137	118	270	195	109	237	244	148	249	110	94	71	318	176	107	103	127	174	256	130
Bacteria:Bipolaricaulota:Bipolaricaulia:M55B111	Bacteria:Bipolaricaulota:Bipolaricaulia:M55B111	3637	1878	927	293	181	167	1803	1994	122	171	45	34	123	17	13	89	69	12	202	107	28	133	120	33	172	52	15	14	177	22	86	53	116	108	145	12
Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-100275	Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-100275	3581	2026	2142	4660	6372	7411	5666	6290	4959	351	158	223	333	522	606	196	232	656	252	389	368	136	362	363	226	442	453	363	567	678	181	375	289	222	436	602
Bacteria:Pseudomonadota:Alphaproteobacteria:Oceanibaculales	Bacteria:Pseudomonadota:Alphaproteobacteria:Oceanibaculales	3541	2430	2065	3503	7330	8322	3880	3432	3456	1233	881	168	691	611	701	960	282	745	336	428	501	84	695	487	417	575	504	396	419	649	79	428	200	276	349	759
Bacteria:Elusimicrobiota:Endomicrobia:Endomicrobiales	Bacteria:Elusimicrobiota:Endomicrobia:Endomicrobiales	3531	1892	1038	340	392	296	1722	1691	278	280	62	98	201	36	50	121	104	36	251	137	49	168	170	74	225	56	32	26	225	80	66	47	100	123	167	47
Bacteria:Pseudomonadota:Gammaproteobacteria:Legionellales	Bacteria:Pseudomonadota:Gammaproteobacteria:Legionellales	3498	2239	1960	2348	2914	3468	3396	3672	2724	388	103	235	299	321	381	223	233	356	338	350	252	234	364	276	314	253	244	177	457	404	153	269	259	236	425	315
Bacteria:Verrucomicrobiota:Lentisphaeria:Victivallales	Bacteria:Verrucomicrobiota:Lentisphaeria:Victivallales	3431	1708	1252	1024	1250	1575	2352	3169	1695	279	46	181	235	110	131	120	122	102	242	144	68	161	194	88	173	118	91	54	345	206	88	82	130	178	298	114
Bacteria:Actinomycetota:Actinomycetia:Euzebyales	Bacteria:Actinomycetota:Actinomycetia:Euzebyales	3409	2610	2385	4631	7740	10507	4224	4973	4837	391	65	185	345	581	658	166	183	745	241	349	361	123	369	318	117	478	490	386	459	759	126	374	255	215	418	774
Bacteria:Calescibacterota:Calescibacteriia:Calescibacteriales	Bacteria:Calescibacterota:Calescibacteriia:Calescibacteriales	3267	1433	812	358	418	520	1229	1149	438	234	58	63	167	52	56	130	72	47	180	120	50	206	195	86	223	77	40	40	148	85	64	56	82	84	136	47
Bacteria:Pseudomonadota:Alphaproteobacteria:Thalassobaculales	Bacteria:Pseudomonadota:Alphaproteobacteria:Thalassobaculales	3203	2011	1858	3558	6241	7353	3218	3859	3234	796	467	207	507	548	634	562	236	681	264	391	425	101	487	438	268	465	429	366	366	505	89	362	188	243	361	719
Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-26407	Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-26407	3188	2591	4317	9892	12583	14609	12640	15559	11137	396	282	586	553	1024	1090	250	419	1077	302	741	731	157	543	547	237	851	877	805	1186	1396	328	706	673	432	909	972
Bacteria:Pseudomonadota:Alphaproteobacteria:Rhodospirillales_A	Bacteria:Pseudomonadota:Alphaproteobacteria:Rhodospirillales_A	2940	2063	2067	2930	4743	5846	3677	4514	3805	754	394	230	454	381	430	505	250	414	245	348	311	109	431	336	260	361	299	271	440	495	142	302	250	217	358	433
Bacteria:Omnitrophota:Koll11:SKK-01	Bacteria:Omnitrophota:Koll11:SKK-01	2897	1356	755	323	456	364	1548	1184	396	242	64	128	127	49	58	133	133	30	249	144	58	156	189	102	196	79	33	30	186	54	73	58	90	117	160	49
Bacteria:Bacillota_C:Negativicutes:Veillonellales	Bacteria:Bacillota_C:Negativicutes:Veillonellales	2874	1779	1416	831	892	1067	1650	2029	908	224	62	91	213	79	91	132	146	82	223	137	78	176	185	93	205	102	65	62	237	147	91	91	151	158	205	107
Bacteria:Chrysiogenota:Chrysiogenetes:Chrysiogenales	Bacteria:Chrysiogenota:Chrysiogenetes:Chrysiogenales	2708	1803	1333	1101	1475	1766	2238	2455	1695	293	68	166	221	129	170	126	142	158	252	190	117	145	200	108	141	142	116	107	324	192	93	133	155	168	271	153
Bacteria:Pseudomonadota:Gammaproteobacteria:Woeseiales	Bacteria:Pseudomonadota:Gammaproteobacteria:Woeseiales	2702	2593	2090	3792	8913	9449	5554	4572	3725	272	145	100	279	919	1122	161	119	1239	224	466	788	37	618	735	115	407	585	591	524	781	115	631	276	222	409	1240
