Sample ID,Depth,pH,H2S,Fe2,Fetot,NH4,Ca,Mg,Cl,NO2,NO3,SO4.IC,PO4,Lactate,Acetate,Propionate,Formate,Butyrate,month,SO4(uM),Acetate(uM),Lactate(uM),Propionate(uM),Butyrate(uM),Formate(uM),NH4(uM),Fe2(uM),Fetot(uM),Ca(uM),Mg(uM),Cl(uM),NO2(uM),NO3(uM),PO4(uM),Depth_group
46,-45,8.01,9.441077441333334,0.77,1.95,2719.53,125.68,34.28,17.164512765429336,0.0,0.26425828040395416,0.5870914556381241,2.0562000139533883,0.0,3.1523379022053377,0.0,0.38271189571505093,0.31212305757292585,Oct,6.1117161736219465,53.389639966894826,0.0,0.0,3.54242489584526,8.501497116979161,194.15922380003857,13.788163667293402,34.918076819769,3135.8850242028047,1410.4093807858467,484.1483870315442,0.0,4.261893502028939,21.65072868203889,Btm
47,-45,8.18,12.94276094,0.81,2.57,2814.2,115.69,33.1,15.374093911460143,0.0,0.0,0.5914858119729537,1.9946916042650726,0.0,3.379908302955598,0.0,0.3356230308814224,0.28116402030168275,Oct,6.1574621275552115,57.2438910466025,0.0,0.0,3.191056864166187,7.455473063096662,200.91813203681093,14.504431909750203,46.0202345778494,2886.6210888766905,1361.859699650278,433.64719238033854,0.0,0.0,21.00307676063607,Btm
48,-45,8.23,10.922558923333334,0.76,2.53,2961.36,141.92,36.76,17.84346086310812,0.0,0.23402653164059828,0.5534013904044309,2.0464881597920748,0.0,3.409879258729167,0.0,0.3751157665784186,0.3190052455456452,Oct,5.760997193466905,57.751494795900804,0.0,0.0,3.6205339410469324,8.332757993167439,211.42453254513913,13.6090966066792,45.3039663353926,3541.0948650132236,1512.445998765686,503.2990399432522,0.0,3.7743231847902066,21.548467852343702,Btm
49,-48,8.28,7.555555555666667,0.66,2.04,2739.85,129.01,34.97,18.89664842426647,0.0,0.2132422043657911,0.4464720529235786,1.7875053821570643,0.0,3.3315368231165654,0.0,0.35081112807237796,0.26397219759967466,Oct,4.647845647757428,56.42464641820618,0.0,0.0,2.9959391397080317,7.792858877143701,195.60995809148477,11.818426000537203,36.5296803652968,3218.9730026448424,1438.7986011108824,533.0056250321966,0.0,3.439118591688578,18.82151239380555,Btm
50,-48,8.25,11.46127946,0.61,1.31,2791.31,103.99,31.33,15.800481496899978,0.0,0.22457911015204957,0.5358239650651127,1.949369618178946,0.0,3.2234699518787617,0.0,0.34169805727700586,0.0,Oct,5.578013377733839,54.594369485108764,0.0,0.0,0.0,7.590422668703065,199.28391412681074,10.9230906974662,23.457784940460204,2594.69035381007,1289.0351779469245,445.67403313964905,0.0,3.621957460653103,20.525859555391897,Btm
51,-48,8.29,10.787878788666667,0.87,4.8,3068.08,115.22,33.68,16.943650131244677,0.0,0.22457911015204957,0.5709788157437491,1.4378786323497998,0.0,4.438683548116022,0.26743175367719796,0.35233003517850625,0.25365972424658956,Oct,5.94398100919997,75.1758611902314,0.0,3.6100398714524564,2.878898243633975,7.826599621887425,219.0437433513961,15.578834273435403,85.952189094816,2874.893956784271,1385.723102242337,477.9186565662899,0.0,3.621957460653103,15.140122524779036,Btm
52,-51,8.35,9.306397306666668,0.64,1.32,2553.69,135.44,34.77,18.818937497423722,0.0,0.17356303411388652,0.7555417818065902,2.0756237222760134,0.0,3.597081417880281,0.0,0.38878911774555486,0.25709699700860794,Oct,7.86531107439715,60.922048267059836,0.0,0.0,2.917909397441924,8.636495496047155,182.319175822999,11.460291879308802,23.636852001074406,3379.4101502070957,1430.5698415963795,530.8136828314591,0.0,2.7991825503127417,21.855250341429247,Btm
53,-51,8.39,6.074074073666668,0.69,3.09,3315.82,106.75,33.51,15.439534691959302,0.0,0.19623684568640343,0.730640429242556,1.98497975010376,0.0,3.113379308027004,0.0,0.34929223867298287,0.25365972424658956,Oct,7.60608400210864,52.7298168827824,0.0,0.0,2.878898243633975,7.759118525734341,236.73099302476672,12.3556271823798,55.33172172978781,2663.55606567194,1378.7286566550092,435.4930384441176,0.0,3.164860288241791,20.900815930940894,Btm
54,-51,8.45,11.05723906,0.75,1.99,3053.7,148.61,37.17,17.97536493630174,0.0,0.18678942419785471,0.7350347855773856,2.386403055438026,0.0,3.532279894734137,0.12663014606558753,0.39334722018913176,0.25365972424658956,Oct,7.651829956041907,59.8245358501141,0.0,1.7093702222676503,2.878898243633975,8.737748410359014,218.0170918203431,13.430029546065002,35.634345062225805,3708.019362243625,1529.3149557704178,507.0195734155569,0.0,3.012494564104687,25.12759689167503,Btm
55,-54,7.57,19.003367003333334,0.96,1.7,2648.24,132.88,34.75,0.0,0.0,0.0,0.7350347855773856,0.0,0.0,0.0,0.0,0.370558301577238,0.0,Oct,7.651829956041907,0.0,0.0,0.0,0.0,8.231519238892819,189.06951673127858,17.1904378189632,30.441400304414003,3315.534707320724,1429.746965644929,0.0,0.0,0.0,0.0,Btm
